Sitecode,Monthcode,Replicate,Wrack,Armases_4m2,Part_sampled,Height,Width,Depth,Galls,Miners,Neither,Toughness1,Toughness2,Toughness3
9,8,2,5,0,1,150,95,120,0,0,30,205,245,250
9,8,3,12,0,1,135,110,85,0,0,30,285,200,360
9,8,4,10,0,1,115,65,60,0,0,30,285,330,310
9,8,5,6,0,1,120,70,75,0,0,30,260,320,315
9,8,6,41,0,1,130,75,75,0,0,30,240,275,315
9,8,8,192,0,1,120,75,75,0,0,30,260,340,420
9,8,7,10,0,1,120,60,50,0,0,30,350,285,320
10,6,2,5,0,1,155,70,70,0,0,30,85,155,90
10,6,3,1,0,0.5,155,125,80,0,0,30,140,155,115
10,6,5,3,0,1,155,100,90,0,0,30,125,175,185
10,6,8,1,0,1,130,80,115,0,0,30,170,95,160
10,6,1,0,0,1,130,100,60,0,0,30,140,190,210
10,6,4,0,0,1,160,100,70,0,1,29,145,130,130
10,6,6,4,0,0.5,155,105,110,0,0,30,225,210,200
10,6,7,2,0,1,155,100,75,0,0,30,185,170,165
10,7,1,6,0,1,140,100,115,0,0,30,190,255,225
10,7,3,14,0,1,155,110,75,0,0,30,235,270,245
10,7,5,2,0,1,145,115,75,0,0,30,150,210,235
10,7,8,1,0,0.5,180,150,160,0,0,30,225,255,250
10,7,4,8,0,1,160,130,115,0,0,30,180,240,215
10,7,2,4,0,1,155,80,100,0,0,30,265,265,285
10,7,6,9,0,1,160,100,130,0,1,29,250,245,240
10,7,7,8,0,1,160,90,160,0,0,30,195,255,225
10,8,2,10,0,1,130,90,85,0,0,30,340,340,310
10,8,5,7,0,0.5,160,150,135,0,0,30,250,210,305
10,8,6,26,0,1,140,120,115,0,1,29,255,170,245
10,8,8,20,0,1,130,95,80,0,1,29,270,260,250
10,8,4,4,0,1,155,90,105,0,0,30,230,230,250
10,8,3,3,0,1,160,130,140,0,0,30,300,225,390
10,8,1,22,0,1,130,85,90,0,2,28,255,250,310
10,8,7,4,0,1,170,130,140,0,0,30,270,260,250
11,6,3,9,0,1,160,70,65,1,0,29,130,165,150
11,6,6,45,4,1,160,85,65,7,0,23,155,170,185
11,6,7,17,1,1,150,100,70,5,1,24,145,165,90
11,6,8,72,3,1,150,135,90,5,1,24,105,130,140
11,6,1,37,5,0.5,200,2115,110,8,0,22,240,150,210
11,6,2,25,10,1,170,110,80,1,1,28,100,120,245
11,6,4,0,1,1,160,100,100,5,0,25,135,150,125
